Detected (True/False):         Color:                                             Runtime [s]:  
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001993   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001993   
True                           ['yellow']                                         0.001997   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.002991   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.002990   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001993   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001996   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000997   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001993   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.000998   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.002992   
True                           ['yellow']                                         0.001994   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001995   
True                           ['yellow']                                         0.001994   
